"Index","Open","High","Low","Close","Volume"
2015-07-01 06:30:00,207.75,207.83,207.58,207.66,14633
2015-07-01 06:31:00,207.66,207.73,207.43,207.45,7101
2015-07-01 06:32:00,207.45,207.55,207.4,207.53,5798
2015-07-01 06:33:00,207.53,207.63,207.51,207.61,3778
2015-07-01 06:34:00,207.61,207.68,207.53,207.67,4899
2015-07-01 06:35:00,207.67,207.72,207.65,207.72,5191
2015-07-01 06:36:00,207.72,207.74,207.63,207.67,6410
2015-07-01 06:37:00,207.66,207.76,207.65,207.75,4511
2015-07-01 06:38:00,207.75,207.91,207.74,207.88,6790
2015-07-01 06:39:00,207.87,207.9,207.8,207.88,3947
2015-07-01 06:40:00,207.88,207.9,207.78,207.81,6094
2015-07-01 06:41:00,207.81,207.83,207.73,207.76,5741
2015-07-01 06:42:00,207.75,207.82,207.7,207.73,4406
2015-07-01 06:43:00,207.73,207.73,207.71,207.72,1379
2015-07-01 06:44:00,207.72,207.74,207.71,207.74,2087
2015-07-01 06:45:00,207.73,207.74,207.5,207.52,5849
2015-07-01 06:46:00,207.51,207.56,207.37,207.55,9973
2015-07-01 06:47:00,207.56,207.68,207.55,207.64,5290
2015-07-01 06:48:00,207.64,207.64,207.52,207.54,5085
2015-07-01 06:49:00,207.54,207.61,207.5,207.58,3166
2015-07-01 06:50:00,207.58,207.67,207.58,207.63,1939
2015-07-01 06:51:00,207.62,207.66,207.6,207.63,1283
2015-07-01 06:52:00,207.64,207.7,207.56,207.69,3678
2015-07-01 06:53:00,207.69,207.79,207.69,207.73,3083
2015-07-01 06:54:00,207.72,207.74,207.67,207.72,3956
2015-07-01 06:55:00,207.73,207.79,207.72,207.73,2224
2015-07-01 06:56:00,207.73,207.79,207.71,207.78,1876
2015-07-01 06:57:00,207.79,207.82,207.75,207.77,1835
2015-07-01 06:58:00,207.78,207.82,207.77,207.82,1427
2015-07-01 06:59:00,207.82,207.88,207.81,207.83,3580
2015-07-01 07:00:00,207.84,207.87,207.81,207.83,4797
2015-07-01 07:01:00,207.83,208,207.77,207.97,5483
2015-07-01 07:02:00,207.98,208.03,207.94,207.95,8220
2015-07-01 07:03:00,207.95,208,207.94,207.99,2886
2015-07-01 07:04:00,207.99,208.03,207.95,207.97,4002
2015-07-01 07:05:00,207.97,207.99,207.86,207.93,3605
2015-07-01 07:06:00,207.93,207.99,207.91,207.98,1823
2015-07-01 07:07:00,207.98,208,207.74,207.77,5741
2015-07-01 07:08:00,207.77,207.86,207.73,207.81,4741
2015-07-01 07:09:00,207.81,207.91,207.8,207.88,2481
2015-07-01 07:10:00,207.89,207.91,207.69,207.7,4269
2015-07-01 07:11:00,207.7,207.8,207.65,207.79,3418
2015-07-01 07:12:00,207.8,207.81,207.53,207.54,4375
2015-07-01 07:13:00,207.54,207.69,207.52,207.69,3103
2015-07-01 07:14:00,207.68,207.75,207.67,207.75,1697
2015-07-01 07:15:00,207.75,207.83,207.74,207.78,2746
2015-07-01 07:16:00,207.77,207.78,207.74,207.78,1264
2015-07-01 07:17:00,207.77,207.78,207.68,207.7,2293
2015-07-01 07:18:00,207.69,207.73,207.59,207.73,2627
2015-07-01 07:19:00,207.72,207.74,207.57,207.62,4792
2015-07-01 07:20:00,207.63,207.68,207.63,207.67,1811
2015-07-01 07:21:00,207.67,207.73,207.67,207.7,3259
2015-07-01 07:22:00,207.7,207.73,207.68,207.69,1664
2015-07-01 07:23:00,207.69,207.85,207.67,207.84,2468
2015-07-01 07:24:00,207.85,207.86,207.79,207.81,2103
2015-07-01 07:25:00,207.81,207.9,207.8,207.83,3982
2015-07-01 07:26:00,207.83,207.85,207.76,207.77,1403
2015-07-01 07:27:00,207.78,207.82,207.63,207.66,6062
2015-07-01 07:28:00,207.66,207.79,207.65,207.74,2532
2015-07-01 07:29:00,207.74,207.82,207.73,207.79,2924
2015-07-01 07:30:00,207.8,207.84,207.63,207.66,5086
2015-07-01 07:31:00,207.66,207.68,207.31,207.38,7669
2015-07-01 07:32:00,207.37,207.5,207.34,207.37,6297
2015-07-01 07:33:00,207.36,207.36,207.12,207.24,12699
2015-07-01 07:34:00,207.24,207.37,207.2,207.36,4365
2015-07-01 07:35:00,207.35,207.41,207.34,207.4,2733
2015-07-01 07:36:00,207.4,207.59,207.39,207.54,3043
2015-07-01 07:37:00,207.54,207.56,207.5,207.54,2096
2015-07-01 07:38:00,207.54,207.58,207.45,207.48,1855
2015-07-01 07:39:00,207.48,207.48,207.31,207.37,2673
2015-07-01 07:40:00,207.37,207.47,207.35,207.41,2301
2015-07-01 07:41:00,207.41,207.52,207.4,207.5,1507
2015-07-01 07:42:00,207.49,207.5,207.44,207.46,1002
2015-07-01 07:43:00,207.46,207.51,207.36,207.42,1809
2015-07-01 07:44:00,207.42,207.5,207.41,207.49,771
2015-07-01 07:45:00,207.49,207.5,207.32,207.33,1937
2015-07-01 07:46:00,207.34,207.34,207.27,207.28,2407
2015-07-01 07:47:00,207.28,207.35,207.25,207.35,2183
2015-07-01 07:48:00,207.32,207.34,207.17,207.19,2521
2015-07-01 07:49:00,207.19,207.21,207.15,207.19,1838
2015-07-01 07:50:00,207.19,207.19,206.95,207.03,6892
2015-07-01 07:51:00,207.03,207.1,207.02,207.1,1203
2015-07-01 07:52:00,207.09,207.16,207.08,207.12,2372
2015-07-01 07:53:00,207.11,207.23,207.1,207.21,2034
2015-07-01 07:54:00,207.21,207.24,207.19,207.23,1846
2015-07-01 07:55:00,207.22,207.27,207.19,207.24,1749
2015-07-01 07:56:00,207.24,207.31,207.21,207.27,1894
2015-07-01 07:57:00,207.27,207.38,207.25,207.38,1598
2015-07-01 07:58:00,207.38,207.39,207.3,207.32,1315
2015-07-01 07:59:00,207.32,207.34,207.29,207.33,720
2015-07-01 08:00:00,207.33,207.4,207.29,207.3,2646
2015-07-01 08:01:00,207.29,207.37,207.22,207.24,2614
2015-07-01 08:02:00,207.24,207.29,207.2,207.2,2071
2015-07-01 08:03:00,207.21,207.36,207.21,207.35,1256
2015-07-01 08:04:00,207.36,207.36,207.3,207.32,1569
2015-07-01 08:05:00,207.32,207.33,207.29,207.31,767
2015-07-01 08:06:00,207.3,207.35,207.3,207.31,1235
2015-07-01 08:07:00,207.31,207.38,207.3,207.38,1227
2015-07-01 08:08:00,207.38,207.45,207.37,207.42,2167
2015-07-01 08:09:00,207.41,207.42,207.32,207.36,2227
2015-07-01 08:10:00,207.36,207.46,207.36,207.43,1925
2015-07-01 08:11:00,207.42,207.45,207.4,207.42,780
2015-07-01 08:12:00,207.42,207.43,207.39,207.41,1124
2015-07-01 08:13:00,207.41,207.43,207.37,207.43,1513
2015-07-01 08:14:00,207.43,207.43,207.35,207.37,2239
2015-07-01 08:15:00,207.38,207.45,207.38,207.45,666
2015-07-01 08:16:00,207.45,207.5,207.4,207.5,1914
2015-07-01 08:17:00,207.5,207.52,207.48,207.51,1416
2015-07-01 08:18:00,207.5,207.51,207.4,207.42,1986
2015-07-01 08:19:00,207.43,207.43,207.37,207.41,1093
2015-07-01 08:20:00,207.41,207.43,207.36,207.43,1477
2015-07-01 08:21:00,207.43,207.45,207.4,207.42,970
2015-07-01 08:22:00,207.42,207.49,207.39,207.48,950
2015-07-01 08:23:00,207.47,207.54,207.47,207.53,1672
2015-07-01 08:24:00,207.53,207.54,207.5,207.52,1144
2015-07-01 08:25:00,207.51,207.55,207.51,207.52,614
2015-07-01 08:26:00,207.52,207.53,207.44,207.45,585
2015-07-01 08:27:00,207.45,207.49,207.44,207.48,511
2015-07-01 08:28:00,207.47,207.55,207.45,207.55,1562
2015-07-01 08:29:00,207.54,207.55,207.45,207.45,2475
2015-07-01 08:30:00,207.45,207.51,207.45,207.46,992
2015-07-01 08:31:00,207.46,207.54,207.46,207.52,878
2015-07-01 08:32:00,207.52,207.56,207.5,207.51,1002
2015-07-01 08:33:00,207.51,207.53,207.47,207.51,1313
2015-07-01 08:34:00,207.5,207.56,207.43,207.55,1715
